record_identifier,county,prior_label_value,corrected_label_value,reason_for_correction,evidence_path,timestamp,qa_status
kern_06437006002_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_06437006002_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_06905104014_prop_intel_dossier.md,Kern,"**APN**: 069-051-04-01-4 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 069-051-04-01-4 (ATN) / **Assessor APN**: 069-051-04 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_06905104014_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_06905104014_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204227003_prop_intel_dossier.md,Kern,"**APN**: 082-042-27-00-3 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 082-042-27-00-3 (ATN) / **Assessor APN**: 082-042-27 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204227003_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204227003_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204232007_prop_intel_dossier.md,Kern,"**APN**: 082-042-32-00-7 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 082-042-32-00-7 (ATN) / **Assessor APN**: 082-042-32 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204232007_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204232007_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204233000_prop_intel_dossier.md,Kern,"**APN**: 082-042-33-00-0 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 082-042-33-00-0 (ATN) / **Assessor APN**: 082-042-33 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204233000_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_08204233000_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_09927123003_prop_intel_dossier.md,Kern,"**APN**: 099-271-23-00-3 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 099-271-23-00-3 (ATN) / **Assessor APN**: 099-271-23 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_09927123003_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_09927123003_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_11304405008_prop_intel_dossier.md,Kern,"**APN**: 113-044-05-00-8 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 113-044-05-00-8 (ATN) / **Assessor APN**: 113-044-05 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_11304405008_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_11304405008_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_11320214006_prop_intel_dossier.md,Kern,"**APN**: 113-202-14-00-6 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 113-202-14-00-6 (ATN) / **Assessor APN**: 113-202-14 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_11320214006_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_11320214006_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_12304121006_prop_intel_dossier.md,Kern,"**APN**: 123-041-21-00-6 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 123-041-21-00-6 (ATN) / **Assessor APN**: 123-041-21 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_12304121006_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_12304121006_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_13934103006_prop_intel_dossier.md,Kern,"**APN**: 139-341-03-00-6 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 139-341-03-00-6 (ATN) / **Assessor APN**: 139-341-03 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_13934103006_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_13934103006_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_13939309003_prop_intel_dossier.md,Kern,"**APN**: 139-393-09-00-3 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 139-393-09-00-3 (ATN) / **Assessor APN**: 139-393-09 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_13939309003_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_13939309003_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_15425043000_prop_intel_dossier.md,Kern,"**APN**: 154-250-43-00-0 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 154-250-43-00-0 (ATN) / **Assessor APN**: 154-250-43 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_15425043000_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_15425043000_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_18139002000_prop_intel_dossier.md,Kern,"**APN**: 181-390-02-00-0 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 181-390-02-00-0 (ATN) / **Assessor APN**: 181-390-02 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_18139002000_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_18139002000_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826528005_prop_intel_dossier.md,Kern,"**APN**: 198-265-28-00-5 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 198-265-28-00-5 (ATN) / **Assessor APN**: 198-265-28 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826528005_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826528005_prop_intel_dossier.md,Kern,Lien Risk Tier: LOW,Equity / Assessed-Value Indicator: HIGH (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826529008_prop_intel_dossier.md,Kern,"**APN**: 198-265-29-00-8 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 198-265-29-00-8 (ATN) / **Assessor APN**: 198-265-29 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826529008_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_19826529008_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_20327115009_prop_intel_dossier.md,Kern,"**APN**: 203-271-15-00-9 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 203-271-15-00-9 (ATN) / **Assessor APN**: 203-271-15 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_20327115009_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_20327115009_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_20409104002_prop_intel_dossier.md,Kern,"**APN**: 204-091-04-00-2 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 204-091-04-00-2 (ATN) / **Assessor APN**: 204-091-04 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_20409104002_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
kern_20409104002_prop_intel_dossier.md,Kern,Lien Risk Tier: HIGH,Equity / Assessed-Value Indicator: LOW (with disclaimer),Shared remediation: field was a pure equity-ratio proxy labeled as if a lien/title review had been performed,predictive_scorer.py (equity_signal logic),2026-08-08T12:00:00Z,PENDING_RERUN
kern_20413408006_prop_intel_dossier.md,Kern,"**APN**: 204-134-08-00-6 (mislabeled - this is the ATN, not the assessor parcel number)",**Source Identifier**: 204-134-08-00-6 (ATN) / **Assessor APN**: 204-134-08 (NOT_VERIFIED),DOSSIER_QA finding: ATN mislabeled as APN in 245/245 Kern dossiers - see property_model.py and monitor_runs/dossier_qa_report.md Section 1,kern/kern_enrich_docnum_verified.py; property_model.py:atn_to_assessor_parcel_number,2026-08-08T12:00:00Z,PENDING_RERUN
kern_20413408006_prop_intel_dossier.md,Kern,PRIORITY SIGNAL: GOING TO AUCTION in 37 days (2026-09-14 - 2026-09-16),PUBLIC-RECORD SIGNAL: Tax-default / Power-to-Sell public-record indicator; parcel-specific auction status not verified (county auction window ...,DOSSIER_QA finding: overclaimed parcel-specific auction-list confirmation against an unpublished live list - see monitor_runs/dossier_qa_report.md Section 2,report_builder.py (priority_signal_display logic); signal_priority.py,2026-08-08T12:00:00Z,PENDING_RERUN
