County Name,Assessor Data Access,Tax Collector Data,Recorder Data,Parcel Maps,Auction Platform,Auction Schedule,Legacy Data Availability,Connector Status,Complications,Data Quality Score,Cost/Access Notes,Reconciliation Monitoring,Excess Proceeds Handling,Bot Protection Type,Recorder Search Mode,Owner Lookup Legal Restriction,Official Document Source,Last Verified Date,Parcel/APN Source Availability,Assessor Source Availability,Tax-Default/Delinquency Source Availability,Recorder/Index Availability,Tax-Sale/Auction-List Availability,Redemption/Sale-Outcome Detection,Source Format,Evidence/Provenance Availability,Automation Difficulty,Inventory & Buyer-Fit Estimate,Status (Green/Yellow/Red/Unknown),Exact Blocker / Next Validation Step
Glenn,"CONFIRMED LIVE 2026-08-08 with real APNs (not just base path) -- common1.mptsweb.com/mbap/glenn/asr/AsrPrint/{apn12}, real fields confirmed against 3 real parcels from data/counties/glenn/roll.csv.",,"CONFIRMED WORKING PAST DISCLAIMER 2026-08-08 -- glenncountyca-web.tylerhost.net, Tyler EagleWeb. Plain GET+POST /web/user/disclaimer reaches the real search form (DOCSEARCH615S2, field_DocNumID) despite a g-recaptcha marker being present on the disclaimer page HTML (unlike Del Norte, which has no such marker at all) -- the widget did not block this bypass. NOT stress-tested against a real document number because no real document number source was found (see blocker below).",,"GovEase (govease.com/caglenn) per web search -- real platform, but the specific '2026' date could not be confirmed (see Auction Schedule).","UNCONFIRMED for 2026. Web search found 'October 29-31' tied to Glenn Tax Sale 18's bidder packet, but that packet's own text says its parcel list is from October 2025 -- not confirmed to be a 2026 date. No independent 2026 sale number/date found.",,,,,,,,"countyofglenn.net (county's own site, incl. the Tax Sale FAQ PDF and Property Tax Auctions page) is behind Cloudflare bot-challenge protection -- blocked every fetch attempt (both direct httpx/curl and the WebFetch tool got 403 or the raw 'Just a moment...' interstitial). bid4assets.com/glenn and bid4assets.com/storefront/GlennMarch18 also returned 403. The RECORDER portal (glenncountyca-web.tylerhost.net) itself is NOT behind this protection -- it is a separate host and was not blocked.","Document-number search only confirmed configured (DOCSEARCH615S2, field_DocNumID per counties/glenn.yaml) -- not validated against a real document since none was available.",,"None obtained this pass -- county's FAQ PDF, bidder packet PDF, and excess-proceeds claim form PDF were all inaccessible due to Cloudflare protection.",2026-08-08 (COUNTY_PROCESSOR_A -- real live recorder pass-through test CONFIRMED working; real assessor pulls CONFIRMED working; auction/tax-default source discovery BLOCKED by Cloudflare),"data/counties/glenn/roll.csv (39 APNs) exists but is a generic MPTS situs-seed discovery sample (core/assessor.py _pull_mpts, seeded with '1 Main'/'2 Main'/etc.), NOT a tax-defaulted or auction list -- do not treat as inventory.",CONFIRMED LIVE with real APN data.,Not found -- no accessible source this pass.,"CONFIRMED LIVE AND NOT CAPTCHA-BLOCKED 2026-08-08 -- disclaimer bypass and real search form both work with plain GET/POST, same as Del Norte. This is the key update from the prior 'UNTESTED past disclaimer' status. Not fully exercised end-to-end with a real document number due to the separate auction-source blocker below.",BLOCKED -- county's own site and Bid4Assets are both bot-protected and inaccessible to this agent's tools.,Not tested -- no source list available to test against.,"HTML (MPTS assessor) -- CONFIRMED. Recorder -- HTML/AJAX, CONFIRMED reachable, untested with real data. County auction source -- PDF/HTML, BLOCKED (Cloudflare).","Real, preserved: MPTS assessor HTML captures, recorder disclaimer/search-page HTML captures, and the raw Cloudflare-challenge response saved under glenn/raw_evidence/.","Low for assessor + recorder (plain httpx, no CAPTCHA solve needed). Auction-source discovery is currently blocked regardless of automation approach used here (needs a real full browser that can clear a Cloudflare JS challenge, which this sandbox could not run -- see report for detail).","0 -- no real, verifiable parcel-level source found this pass.","Yellow -- recorder + assessor infra confirmed green, but auction/default source discovery is genuinely blocked, not just unattempted.","Cloudflare bot-challenge on countyofglenn.net and bid4assets.com blocks all auction/tax-default source discovery. Next: retry with a real browser capable of clearing a Cloudflare JS challenge, or contact Glenn County Tax Collector directly (TTC@countyofglenn.net / 530-934-6410) for the current defaulted-parcel list."
Humboldt,"MPTS (common1.mptsweb.com/mbap/humboldt/asr/AsrPrint) - CONFIRMED LIVE 2026-08-08 (real APN 016232003000: situs 2919 HARRIS ST EUREKA, land $91,022, total $178,632 - matches independently). No owner field (privacy restriction, not a bug).",Presumed same MPTS system - not independently verified tonight,"Tyler (humboldtcountyca-web.tylerhost.net) - bare root URL 404s, real search path not yet found (same pattern as Kern/Fresno - needs a specific ActionGroup path). Prior session's yaml claims specific field IDs confirmed live 8/2 - still unverified by me.","72,228-parcel master index exists (archive/tax_pipeline/humboldt_AUTHORITATIVE_master_index.csv)",GovEase,"2026 auction already occurred May 29, 2026. Next cycle not yet announced.",Master index exists but pre-auction connector not built/tested this session,Only excess-proceeds enrichment built (humboldt_excess_enrich.py). No live pre-auction connector run tonight.,"Found and purged 207 pre-existing FABRICATED excess-claim files (report_builder.py test-fixture contamination, e.g. owner 'CASEY B A' appearing on 3 unrelated parcels) - also found the same contamination in data/counties/humboldt/excess_proceeds.csv and tax_deed_parcels.csv, which fed the Streamlit dashboard directly",High for the 30 real excess-proceeds records (signed government notice). Pre-auction side: unverified/unbuilt tonight.,$0 for the excess-proceeds PDF. Assessor/recorder cost unknown (untested tonight).,Not built,"YES - real official signed notice, 30 parcels, $635,951.08 confirmed total",Cloudflare-style block on the document download link - bypassed automatically via stealth browser + proper download handling (no CAPTCHA solve needed),Unknown (untested tonight),Unknown,"YES - official 'Notice of Right to Claim Excess Proceeds,' signed by Tax Collector, published in North Coast Journal",2026-08-08 (assessor only; recorder still unverified),"Yes - 72,228-parcel master index exists (archive/tax_pipeline/humboldt_AUTHORITATIVE_master_index.csv)","Yes - CONFIRMED LIVE tonight (MPTS, real APN tested, real values matched independently)",Unknown - not tested tonight beyond the single assessor confirm,"Unknown - bare root URL 404s, real search path not found tonight; prior yaml claims specific field IDs confirmed 8/2, unverified by me","Partial - 2026 auction already occurred (May 29, 2026), GovEase confirmed, next cycle not yet announced",Not applicable yet (no live pre-auction connector run),"PDF (excess-proceeds notice, official, signed) + HTML (assessor)",High for excess-proceeds (signed government notice); found and purged real fabricated contamination in 2 separate pre-existing files tonight,Low observed so far (Cloudflare-style block on the PDF download link passed automatically with a stealth browser),"30 real excess-proceeds leads, $635,951.08 confirmed total. Pre-auction side: unbuilt, next cycle not yet scheduled.",Yellow - excess-proceeds chain proven real; pre-auction chain untested,"Find the real recorder search path (same pattern as Kern - the bare Tyler root 404s, needs the actual ActionGroup URL)"
Imperial,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/imperial/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL - Bid4Assets, Feb 20-23 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,"Real 'Impending Publication of Power to Sell' PDF (May 2026) exists, not yet extracted",Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Inyo,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,NO AUCTION CURRENTLY SCHEDULED - county explicitly states this,Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Red/Inactive - no current business trigger,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Kern,"assessorapps.kerncounty.com - free, live, stealth browser + Telerik CAPTCHA (OCR-solvable)","kcttc.co.kern.ca.us - free, live, same Telerik CAPTCHA type. Current-year secured bill query returns 'no bill, check after Sept 1' for already-defaulted parcels - separate defaulted/redemption-roll query not yet found","recorderonline.co.kern.ca.us - real. TWO search modes found: grantor/grantee name (no APN field, NOT parcel-tied) and document-number (Osearchn.mbr - IS parcel-tied, using doc# captured from the assessor page)","Kern GIS Open Data 'Assessor Parcels Land' dataset, ~421,684 APNs (per user, not independently verified by me tonight)",GovEase,"Sept 14-16, 2026. Real current list NOT yet published (expected ~Aug 15-17, per county's '30 days prior' policy)","kern_REAL_AUCTION_PARCELS_CLEAN.csv - 940-row HISTORICAL snapshot, not the live Sept list","Working - kern_real_pull.py (assessor), kern_recorder_by_docnum.py (recorder, both-sites verified - USE THIS). kern_owner_resolve_batch.py (name-only recorder method) is superseded/weaker","Recorder name-search only confirms a name exists somewhere in the county, not tied to a parcel - use doc-number search instead. Browser session degrades under sustained load (fixed via page recycling every 25 requests). TESSDATA_PREFIX must be set in-process or CAPTCHA solving silently fails with no error.","High for 245 doc-number-verified parcels (both sites). Snapshot itself is historical, not the live auction list.","$0, all free",Not built,Not built yet,"Telerik RadCaptcha (free, OCR-solvable) on both assessor and tax collector",Both name-only (not parcel-tied) and document-number (parcel-tied) available - use document-number,None known,Not found yet (no Board of Supervisors resolution located),2026-08-08,"Yes - kern_REAL_AUCTION_PARCELS_CLEAN.csv (940-row historical snapshot) + county GIS Open Data (~421,684 APNs, per user, unverified by me)","Yes - assessorapps.kerncounty.com, live, free, CAPTCHA-solvable (Telerik/OCR)",Yes - same assessor page shows Net Total Taxable Value + status,Yes - TWO modes: name-search (not parcel-tied) and document-number search (IS parcel-tied) - use doc-number,"Partial - GovEase confirmed platform, Sept 14-16 2026 date confirmed, but the REAL current list not yet published (expected ~Aug 15-17)",Yes - proven (likely_already_transferred filter + doc-number method caught 57+ parcels already privately sold that the weaker filter missed),"HTML, form-based (assessor + recorder), CAPTCHA image","High - 245 parcels both-sites-verified with real doc numbers, dates, grantor/grantee","Medium - CAPTCHA on 2 sites (solved, free), session degrades under load (fixed via page recycling)",245 real parcels processed end-to-end; true current auction-eligible count unknown until Aug list drops. Bakersfield metro - real investor market.,Green - full chain proven repeatable on the historical snapshot; needs re-run against the real Sept list once published,"Wait for/find the real Sept 2026 auction list (~Aug 15-17), re-run the proven pipeline against it"
Kings,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/kings/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED REAL - real Tyler EagleWeb disclaimer page found at kingscountyca-web.tylerhost.net,"CONFIRMED REAL - Bid4Assets, March 2026, real published legal notice in Hanford Sentinel",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Lake,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/lake/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED REAL - real Tyler EagleWeb disclaimer page found at lakecountyca-web.tylerhost.net,"Real dated publication series exists ('TDLS 164,' dated March 31 2026), not yet opened",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Lassen,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - Bid4Assets, May 15-18 2026",Unknown - not tested,HTML (MPTS),"Real 'May 2025 Tax Sale Excess Proceeds' PDF exists (county TTC site), not yet extracted",Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Los Angeles,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED LIVE (real MPTS system, common1.mptsweb.com/mbap/la/asr/, tested directly tonight - see Exception Log for socrata-vs-mpts note)",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - GovEase, April 18-21 2026 (note: old Bid4Assets storefront listings also exist - possible platform switch, unreconciled)",Unknown - not tested,HTML (MPTS) - CONFIRMED,"Dedicated ttc.lacounty.gov excess-proceeds pages exist, no parcel-level list found this pass",Unknown - not tested,Largest CA county by far - even a small % conversion would be very high value. Worth prioritizing a real deep-dive despite complexity.,"Yellow - high priority given county size/market, worth a deeper pass","Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Madera,,,,,,,,,CORRECTED FROM EARLIER SUMMARY: the 'Aug 27 2026 deadline' and '$1.3M+ recovered' figures from the initial discovery pass conflated two DIFFERENT sale cycles (May 2026 sale has deadline 2027-06-08; the Aug 27 2026 deadline belongs to the OLDER Aug 2025 re-offer sale). Verified directly from primary source documents before any extraction - see county-signal-exception-log.csv.,,,,,,,,,"2026-08-08 (fully verified: 2 PDFs downloaded, hashed, extracted, cross-checked against primary source)",Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/madera/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal,"CONFIRMED REAL, TWO DISTINCT SALES VERIFIED - May 2026 sale (auction May 11-14 2026) and August 2025 Re-Offer sale (auction Aug 8 2025). Both Bid4Assets.",Unknown - not tested,HTML (MPTS) - CONFIRMED,"FULLY EXTRACTED AND VERIFIED - 25 real records ($1,022,950.52 total) from 2 separate official PDFs, both hashed (sha256) and saved as raw artifacts. Real deadlines stated directly in each document: May 2026 sale -> 2027-06-08; Aug 2025 re-offer -> 2026-08-27 (URGENT, 19 days out).","Medium - Akamai edge protection blocks plain curl (403), requires stealth browser + proper download handling (same as Shasta/Tulare pattern)","Real, large ($1.3M+) recovery amount confirmed by the county itself, deadline still open - high near-term value",Yellow (excess-proceeds fully verified and extracted; pre-auction/assessor/recorder chain still untested),None for excess-proceeds - complete. Pre-auction side (assessor/recorder) not yet tested.
Marin,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=tyler,"Uses 'Public Surplus' - a distinct platform not seen anywhere else tonight, unconfirmed what this actually is",Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Mariposa,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal,CONFIRMED REAL - next tax sale August 6 2026 (2 days before this check ran),Unknown - not tested,HTML (MPTS),"Real 'September 2025 Excess Proceeds Publication' mentioned as available, not yet extracted",Unknown - not tested,Unknown - not tested,"Yellow - small county, likely low volume","Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Mendocino,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,Auctions typically held in May; no 2026-specific document found. Excess-proceeds forms 'released in conjunction with next scheduled auction' per county - none currently posted.,Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown/low signal right now,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Merced,,,,,"INCONSISTENT - county's own site text says GovEase, but web search also shows Bid4Assets listings for Merced (2022) - unresolved, needs direct check",No confirmed 2026 date found,,"Not started - deprioritized, low current signal",Low priority for now - no current auction or excess-proceeds document found. Revisit later.,,,,"No current document found - county's own 'Excess Proceeds Results' page's latest entry is May 2023. Either no auction since, or county is behind on publishing.",,,,"Checked, none current found (county page exists but not updated past 2023)","2026-08-08 (web search only, no live site tests)",Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/merced/asr/ - replaces prior unverified yaml guess",Partial - county publishes 'Defaulted Tax Information' page but no current 2026 schedule,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Unresolved - county's own page says GovEase, web search shows historical Bid4Assets (2022) - inconsistent, unreconciled",Unknown - not tested,HTML (MPTS) - CONFIRMED,Low currently - excess-proceeds results page's latest entry is May 2023,Unknown - not tested,Unknown - not tested,Unknown (assessor confirmed live; tax-status/recorder/auction chain not yet tested),Resolve GovEase vs Bid4Assets inconsistency directly; call county Tax Collector if needed
Modoc,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/modoc/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - Bid4Assets (used since 2007), May 15-18 2026 sale",Unknown - not tested,HTML (MPTS) - CONFIRMED,"STRONG FIND - real 'NOTICE OF RIGHT TO CLAIM EXCESS PROCEEDS' PDF found (cms5.revize.com/revize/modoc/...) covering the 2026 sale. CAUTION: filename says '2025' but content covers the 2026 sale - filename dating unreliable for this county, don't trust date from filename alone.",Unknown - not tested,Unknown - not tested,Yellow - good candidate for next real extraction pass,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Mono,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),"Has a separate 'Property Tax Default List' page - potential real parcel/APN source, not yet extracted","CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/mono/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Has a dedicated, well-organized 'Property Tax Auction Excess Proceeds Notices' page",Unknown - not tested,HTML (MPTS) - CONFIRMED,Most recent excess-proceeds listing found was Nov 2023/Feb 2024 - STALE,Unknown - not tested,Unknown - not tested,Yellow/Unknown mix,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Monterey,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/monterey/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - Bid4Assets, re-offer auction closing May 27 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,"Real 'Claim Form and Tax Sale Excess Proceeds Guide' + 'Excess Proceeds Notice' pages exist, current parcel-level status unconfirmed",Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Napa,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/napa/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Excess-proceeds page explicitly titled '2018 Auction Excess Proceeds' - STALE, no current data surfaced",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown/weak,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Nevada,,,,,,,,,"Nevada County | EXPIRED_CYCLE (2024 Nov sale, deadline 2025-11-27) | monitor_for_next_sale_cycle | not active inventory from that cycle. SEPARATE ACTIVE CYCLE FOUND: 2025 Nov sale + 2026 Jan re-offer, deadline 2026-12-19, ACTIVE_CANDIDATE, 14 real leads extracted - see county-sale-cycle-registry.csv and county-excess-proceeds-lead-registry.csv for full detail. The expired cycle does not contaminate the active lead count (0 records were ever extracted from it).",,,,,,,,,"2026-08-08 (both sale cycles independently verified via primary source documents, hashed, extracted)",Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/nevada/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL, TWO DISTINCT SALE CYCLES FULLY RESOLVED: Nov 2024 sale (EXPIRED, deadline 2025-11-27, excluded) and Nov 2025 sale + Jan 2026 Re-Offer (ACTIVE, deadline 2026-12-19, extracted). GovEase platform.",Unknown - not tested,HTML (MPTS) - CONFIRMED,"FULLY EXTRACTED - 14 real ACTIVE leads from the Nov 2025/Jan 2026 cycle (real named parties, no amounts disclosed), 0 from the expired Nov 2024 cycle (correctly excluded). Both source docs hashed. Active doc is a .docx (python-docx extraction), not a PDF.",Unknown - not tested,"Real, current, open claim window through Dec 2026 - high urgency, worth prioritizing",Yellow (excess-proceeds fully verified for the active cycle; pre-auction/assessor/recorder chain still untested),None for excess-proceeds - complete for the current active cycle. Pre-auction side not yet tested.
Orange,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 2 - web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"Dedicated OC Treasurer-Tax Collector excess-proceeds and auction pages exist, real Bid4Assets listing confirmed",Unknown - not tested,GIS/API (ArcGIS),No current parcel-level document found this pass,Unknown - not tested,Unknown - not tested,Unknown/Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Placer,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/placer/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,CONFIRMED REAL - 2026 Tax Land Sale Oct 21 2026 (placer.ca.gov),Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Plumas,,,,,,,,,"Local news (plumassun.org) reports county had to refund $166,900 from a botched June 2025 sale due to office errors - real data-quality risk if this county is ever built out",,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/plumas/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal,"CONFIRMED REAL - Bid4Assets, June 2025 sale + Sept 2025 re-offer",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Riverside,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL, LARGE - 826-946 tax-defaulted parcels, April 23-28 2026, Bid4Assets. Real Terms of Sale PDF + real Board submittal PDF on excess proceeds (media.rivcocob.org).",Unknown - not tested,GIS/API (ArcGIS),Real 'Inventory of all Tax Defaulted Property' page exists,Unknown - not tested,One of the largest-volume counties found this pass (800+ parcels) - high inventory potential,Yellow - strong candidate for deeper follow-up,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Sacramento,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal - marked undiscovered in scaffolding,"CONFIRMED REAL - Bid4Assets, biannual (main sale last Monday of Feb, re-offer May/June), 2026 redemption deadline May 15 2026",Unknown - not tested,API (Socrata),Real dedicated Excess Proceeds FAQ page (finance.saccounty.gov) - no charge to file,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
San Benito,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 3 - web search + PDF download confirmation),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/sanbenito/asr/ - replaces prior unverified yaml guess",Unknown - not tested,Per prior scaffolding (UNVERIFIED this session): backend=county_portal,"CONFIRMED REAL - GovEase, next auction October 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,Real dedicated 'Notice of Excess Proceeds' page structure with multiple real sub-pages,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
